"名称","住所","ID","住所1","住所2","住所3","電話","FAX","利用時間","階数","定休日","駐車場","敷地内の状況および施設入口","誘導施設","案内設備","昇降設備","トイレ","公衆電話","その他の設備","備考","カテゴリー","分類"
"和歌山市営中央駐車場","和歌山市七番丁19","BA555237","和歌山県","和歌山市","七番丁19","073-432-5309","","24時間","地上７階、PH１階","1/1～1/3","◎一般駐車場　有り：５７７台<br>◎障害者用駐車場　有り：７台","◎施設入口への車椅子利用：可","","","◎一般用エレベーター　有り","◎障害者（車椅子）用便所　有り：１箇所（１階エレベーター横）","","","◎車椅子の方は、エレベーターで出入りできます。<br>◎身障者手帳を掲示すると、利用料金が５割引になります。","その他","その他"
"ファーストビル","和歌山市東蔵前丁4番地","BA555238","和歌山県","和歌山市","東蔵前丁4番地","073-428-1333","073-431-0789","6:30～23:30","地上８階、地下１階","なし","◎一般駐車場　有り：１０５台","◎施設入口への車椅子利用：可","","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤）","◎障害者（車椅子）用便所　有り：２箇所（3階のみ）<br>◎洋式大便所　有り：２箇所<br>◎手すり付便所　有り：１箇所","","","◎3階に医療施設が入っている為、2台のEVのうち1台をストレッチャーがはいる大きさにし、手摺低位置操作盤を設けています。<br>◎また、便所も3階のみですが、手摺付洋便器を設置し、扉もアコーディオン式としています。","その他","その他"
"和歌山ガスビル","和歌山市十一番丁1-2","BA555239","和歌山県","和歌山市","十一番丁1-2","","","9:00～17:30","地上６階","日曜祝日","◎一般駐車場　有り<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","","◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎障害者（車椅子）用便所　有り：１箇所（店舗施設奥）","","","◎障害者Pよりは直接は店舗には入れない。正面入口より入り、誘導してもらって利用する。","その他","その他"
"和歌山ビッグ愛","和歌山市手平２丁目１-２","BA555240","和歌山県","和歌山市","手平２丁目１-２","073-435-5200","073-435-5201","(会議室展示ホール)9:00～21:00<br>(レストラン)8:30～22:00<br>(宿泊施設)チェックイン14:00、チェックアウト10:00","地上１２階、地下１階","12/29～1/3","◎一般駐車場　有り：乗用車用２８０台・バス５台・公用車２６台・健診車１４台<br>◎障害者用駐車場　有り：１０台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り<br>◎他の誘導設備：音声案内","◎一般案内　有り<br>◎点字案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎障害者（車椅子）用便所　有り：１３箇所（１階３箇所・２階２箇所・３～９階及び１２階各１箇所）<br>◎洋式大便所　有り：２７箇所<br>◎手すり付便所　有り：１３箇所","◎車椅子用電話　有り：６箇所","◎車椅子の常備　有り：５台<br>◎車椅子等に配慮した便所、浴室を完備した居室　有り：４室","◎障害者用トイレはもちろんのこと、扉は全て引戸に、各所に手摺りを設け、バリアフリーを実現しています。<br>◎宿泊施設には、車イスの方にも楽にお泊まりいただけるハンディキャップルーム（４室）を設けております。","その他","その他"
"大新公園地下駐車場","和歌山市坊主丁12","BA555241","和歌山県","和歌山市","坊主丁12","073-433-8768","073-433-8920","7:00～2:00","地下１階","なし","◎一般駐車場　有り：１６２台<br>◎障害者用駐車場　有り：４台","◎施設入口への車椅子利用：可","","","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・音声案内）","◎障害者（車椅子）用便所　有り：１箇所（施設入口付近）<br>◎手すり付便所　有り：２箇所","","","◎身障者用エレベーターで出入りできます。<br>◎身障者手帳を呈示すると、利用料金が５割引になります。","その他","その他"
"ＪＲ和歌山駅西口広場","和歌山市美園町5丁目13-2","BA555242","和歌山県","和歌山市","美園町5丁目13-2","","","","地上１階","","","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り<br>◎他の誘導設備：音声案内","◎点字による案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）<br>◎エスカレーター　有り","◎障害者（車椅子）用便所　有り：１箇所（地下広場北側）<br>◎洋式大便所　有り：２箇所<br>◎手すり付便所　有り：１箇所<br>◎オストメイト対応便所　有り","","◎授乳室　有り：１室（障害者用便所内）","","その他","その他"
"JR広川ビーチ駅","有田郡広川町山本９７１-１","BA555938","和歌山県","有田郡広川町","山本９７１-１","","","終日","地上１階","なし","","◎施設入口への車椅子利用：可","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","","","その他","その他"
"花の里児童公園","有田郡有田川町庄929-1","BA555939","和歌山県","有田郡有田川町","庄929-1","0737-52-5859","0737-52-8730","9:00～17:00","","","◎一般駐車場　有り：５０台","","","","","◎障害者（車椅子）用便所　有り：１箇所（児童公園西側）","","","","その他","その他"
"四季の郷公園自然観察の森ネイチャーセンター","和歌山市明王寺58","BA555243","和歌山県","和歌山市","明王寺58","073-478-2220","073-478-2220","9:00～16:30","地上１階","火曜","◎一般駐車場　有り：１７０台<br>◎障害者用駐車場　有り：５台","◎施設入口への車椅子利用：可","","◎一般案内　有り","","◎障害者（車椅子）用便所　有り：１箇所（入口すぐ）","","","","その他","その他"
"四季の郷公園四季さい館","和歌山市明王寺85","BA555244","和歌山県","和歌山市","明王寺85","073-478-2220","","9:00～17:00","地上２階","火曜","◎一般駐車場　有り：１７０台<br>◎障害者用駐車場　有り：５台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎障害者（車椅子）用便所　有り：２箇所（１階・２階）<br>◎洋式大便所　有り：２箇所<br>◎手すり付便所　有り：２箇所","","","◎おむつ替えシート付トイレが１・２階にある。","その他","その他"
"県民交流プラザ和歌山ビッグ愛","和歌山市手平2丁目1-2","BA555245","和歌山県","和歌山市","手平2丁目1-2","073-435-5200","073-435-5201","8:00～23:00","地上１２階","年末、年始","◎一般駐車場　有り：２６０台<br>◎障害者用駐車場　有り：１０台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り<br>◎他の誘導設備：音声案内","◎一般案内　有り<br>◎点字案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎障害者（車椅子）用便所　有り：14箇所(1階、2階各2箇所・3階～12階各1箇所)<br>◎洋式大便所　有り<br>◎手すり付便所　有り：15箇所(1階3箇所・2階2箇所・3～12階各1箇所)","","◎車椅子の常備　有り：６台<br>◎授乳室9階の女性センターで可能<br>◎キャッシュコーナー　有り（9:00～18:00）<br>◎車椅子等に配慮した便所、浴室を完備した居室　有り：４室","","その他","その他"
"みちや味彩館（あじさいかん）","和歌山市加納203-4","BA555246","和歌山県","和歌山市","加納203-4","073-474-3500","なし","9:00～24:00","地上１階","なし","◎一般駐車場　有り：１８台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所（店の横）<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","","","その他","その他"
"和歌山農業協同組合西山東支店","和歌山市吉礼63-3","BA555247","和歌山県","和歌山市","吉礼63-3","073-478-0062","073-478-3735","8:30～15:00","地上２階","土、日、祝日","◎一般駐車場　有り：５台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所（１階営業室内・来客職員兼用）<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","","◎身障者等への対応は、その都度職員が行います。","その他","その他"
"紀ノ川セレモ平安","和歌山市福島111番地","BA555248","和歌山県","和歌山市","福島111番地","073-457-5969","073-452-4455","常時","地上３階","なし","◎一般駐車場　有り：２００台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎障害者（車椅子）用便所　有り：１箇所（１階ホール）<br>◎洋式大便所　有り：１５箇所","◎車椅子用電話　有り：１箇所","◎車椅子の常備　有り：１台","◎介護が必要な場合は、職員が対応します。","その他","その他"
"西庄ふれあいの郷ゲートゴルフ場","和歌山市西庄1107番地の33","BA555249","和歌山県","和歌山市","西庄1107番地の33","073-456-3566","","9:00～21:00","地上１階","火曜日","◎一般駐車場　有り：５台<br>◎障害者用駐車場　有り：２台","◎施設入口への車椅子利用：可","","","","◎障害者（車椅子）用便所　有り：１箇所（入口正面）<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：２箇所","◎車椅子用電話　有り：１箇所","","","その他","その他"
"西庄ふれあいの郷ハーブ園クラブハウス","和歌山市西庄字岩ノ谷1107-1","BA555250","和歌山県","和歌山市","西庄字岩ノ谷1107-1","073-456-3566","073-456-3566","9:00～17:00","地上１階","火曜日","◎一般駐車場　有り：７台<br>◎障害者用駐車場　有り：２台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","◎一般案内　有り","","◎障害者（車椅子）用便所　有り：１箇所（一般便所前）<br>◎洋式大便所　有り：男女各１箇所<br>◎手すり付便所　有り：男女各１箇所","","","◎障害者用便所からの非常呼び出しベルを設置しています。","その他","その他"
"信濃路紀ノ川店","和歌山市平井字前嶋147-1","BA555251","和歌山県","和歌山市","平井字前嶋147-1","073-480-3339","073-480-3339","11:00～22:00","地上１階","なし","◎一般駐車場　有り：２５台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所（ホール横）<br>◎洋式大便所　有り：２箇所","","◎車椅子の常備　有り：１台","","その他","その他"
"GAMELANDKCAT","和歌山市湊字中州坪1771-5","BA555252","和歌山県","和歌山市","湊字中州坪1771-5","073-480-5111","073-480-5112","10:00～24:00","地上３階","なし","◎一般駐車場　有り：８４台<br>◎障害者用駐車場　有り：３台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤）","◎障害者（車椅子）用便所　有り：１箇所（２階）<br>◎洋式大便所　有り：２箇所<br>◎手すり付便所　有り：２箇所","","","◎入口２ヶ所は年齢制限はありません。<br>◎障害者用便所内に、ベビーベッドを設置しています。","その他","その他"
"ウェディングヒルラヴィーナ和歌山(披露宴会場棟)","和歌山市中639-6","BA555253","和歌山県","和歌山市","中639-6","073-454-0010","073-454-7766","8:00～22:00","地上２階","なし","◎一般駐車場　有り：１７０台<br>◎障害者用駐車場　有り：５台","◎施設入口への車椅子利用：可","","","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤）","◎障害者（車椅子）用便所　有り：２箇所（１階控室隣り、二階披露宴会場内）<br>◎洋式大便所　有り：３箇所<br>◎手すり付便所　有り：２箇所","","","◎駐車場は披露宴会場棟、及び、結婚式場棟兼用です。<br>◎披露宴会場入口側には５台の駐車場（障害者用２台含）があります。","その他","その他"
"ウェディングヒルラヴィーナ和歌山(結婚式場棟)","和歌山市中639-6","BA555254","和歌山県","和歌山市","中639-6","073-454-0010","073-454-7766","8:00～22:00","地上３階、地下１階","なし","◎一般駐車場　有り：１７０台<br>◎障害者用駐車場　有り：５台","◎施設入口への車椅子利用：可","","","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤）","◎障害者（車椅子）用便所　有り：１箇所（１階待合室隣り）<br>◎洋式大便所　有り：２箇所<br>◎手すり付便所　有り：１箇所","","◎車椅子の常備　有り：１台（１階受付）","◎駐車場は結婚式場棟、及び、披露宴会場棟兼用です。","その他","その他"
"JR海南駅","海南市名高１８７-８","BA555535","和歌山県","海南市","名高１８７-８","073-482-0319","","","地上２階","なし","","◎施設入口への車椅子利用：可","◎誘導ブロック　有り","◎一般案内　有り","◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）<br>◎エスカレーター　有り","◎障害者（車椅子）用便所　有り：３箇所（外部用１箇所・駅構内２箇所）<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","◎キャッシュコーナー　有り<br>◎点字付自動支払機　有り","","その他","その他"
"重根広場","海南市重根970-2","BA555536","和歌山県","海南市","重根970-2","","","24時間","地上１階","なし","◎一般駐車場　有り：２台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可","◎誘導ブロック　有り","◎一般案内　有り","","◎障害者（車椅子）用便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","","","その他","その他"
"海南海草環境衛生センター","海南市築地1番地12","BA555537","和歌山県","海南市","築地1番地12","073-483-7030","073-483-7029","見学10:00～14:00(要予約)","地上２階、地下１階","土・日・祭日","◎一般駐車場　有り：１９台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎障害者（車椅子）用便所　有り：１箇所（１階玄関ホール奥）<br>◎洋式大便所　有り：４箇所","","","◎施設の見学コースは、車椅子でも可能です。","その他","その他"
"(社)一峰会ぱん工房かたつむり","海南市重根1778","BA555538","和歌山県","海南市","重根1778","073-485-3320","073-485-3340","9:00～15:30","地上２階","土・日・祝日","◎一般駐車場　有り：７台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","◎一般案内　有り<br>◎手話による案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤・点字表示・音声案内）","◎障害者（車椅子）用便所　有り：１箇所（玄関ホール付近）<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：２箇所","","◎車椅子の常備　有り：２台<br>◎車椅子用の浴室　有り<br>◎車椅子等に配慮した便所、浴室を完備した居室　有り：１室","","その他","その他"
"ビーンズこのの","橋本市神野々字西畑1152-1","BA555539","和歌山県","橋本市","神野々字西畑1152-1","0736-39-5377","0736-39-5311","10:00～23:00","地上１階","不定休（月に２回程度）","◎一般駐車場　有り：６８０台<br>◎障害者用駐車場　有り：２台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所（メイン入口ホール横）<br>◎洋式大便所　有り：４箇所<br>◎手すり付便所　有り：１箇所","","◎車椅子の常備　有り：２台（エントランスホール）","◎障害者来客用遊技スペースは有。店員が介助の上案内する。<br>◎駐車場は身体障害者マークの車輌が入ってきた場合、ガードマンが駐車スペースまで案内する。","その他","その他"
"田鶴苑（有田市デイサービスセンター）","有田市宮崎町911","BA555540","和歌山県","有田市","宮崎町911","0737-82-6644","0737-82-6609","8:30～17:30","地上５階","日、年末年始","◎一般駐車場　有り：３０台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤）","◎障害者（車椅子）用便所　有り：１０箇所","","◎車椅子の常備　有り：７０台（常時使用、空き１０台位）","◎車椅子用公衆電話はないが、カウンター上に設置され、車イス利用者も使用可。","その他","その他"
"有田市星尾ドライブイン「鮎茶屋」","有田市星尾","BA555541","和歌山県","有田市","星尾","0737-88-5151","0737-88-7543","9:00～22:00","地上３階","毎月、第3火曜日","◎一般駐車場　有り：１５０台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","◎一般用エレベーター　有り<br>◎障害者用エレベーター　有り（低位置操作盤）","◎障害者（車椅子）用便所　有り：１箇所（１階入口すぐ）<br>◎洋式大便所　有り：３箇所","","◎車椅子の常備　有り：３台","◎障害者用便所は、一階玄関のすぐ前にあり、玄関の前に車を駐車することができます。","その他","その他"
"福亀堂大漁みやげセンター","田辺市新庄町北内の浦3067-28","BA555544","和歌山県","田辺市","新庄町北内の浦3067-28","0739-25-1912","0739-24-1617","8:00～16:30","地上１階","年中無休","◎一般駐車場　有り：５０台","◎施設入口への車椅子利用：可","","","","◎障害者（車椅子）用便所　有り：２箇所（建物中央）<br>◎洋式大便所　有り：２箇所<br>◎手すり付便所　有り：２箇所","","","","その他","その他"
"江川児童公園","田辺市江川23－1","BA555545","和歌山県","田辺市","江川23－1","","","","","","","","","","","◎障害者（車椅子）用便所　有り：１箇所","","","","その他","その他"
"錦水公園","田辺市上屋敷3","BA555546","和歌山県","田辺市","上屋敷3","","","","","","◎一般駐車場　有り：２台","","","","","◎障害者（車椅子）用便所　有り：１箇所","","","","その他","その他"
"扇ケ浜公園","田辺市扇ヶ浜2－20","BA555547","和歌山県","田辺市","扇ヶ浜2－20","","","終日","","","◎一般駐車場　有り：７台","","◎誘導ブロック　有り（便所内のみ）","","","","","","","その他","その他"
"紀伊田辺駅","田辺市湊961","BA555549","和歌山県","田辺市","湊961","0739-22-9982","","","地上１階","","","◎施設入口への車椅子利用：可","","◎一般案内　有り","","◎障害者（車椅子）用便所　有り：１箇所","","","","その他","その他"
"国土交通省紀南河川国道事務所","田辺市中万呂142","BA555550","和歌山県","田辺市","中万呂142","0739-22-4564","0739-26-3991","8:30～17:15","地上４階","土・日曜日、祝祭日","◎一般駐車場　有り","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","","◎一般用エレベーター　有り","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：１箇所","","","","その他","その他"
"関西電力(株)新宮営業所","新宮市野田5-63","BA555551","和歌山県","新宮市","野田5-63","0735-22-5211（代）","0735-21-1327","9:30～17:00","地上３階、地下１階","土・日・祝日","◎一般駐車場　有り：９台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","","◎一般案内　有り","","◎障害者（車椅子）用便所　有り：１箇所（１階）","","","◎障害者用便所ブザー付（所長室へつながる）","その他","その他"
"精神障害者小規模作業所どんぐりの家","新宮市丸山2-10","BA555552","和歌山県","新宮市","丸山2-10","0735-22-6654","0735-22-6654","9:30～16:00","地上２階","土・日・祝日","◎一般駐車場　有り：２台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所（１階・手すり付き）","","","","その他","その他"
"南谷墓地管理事務所","新宮市新宮字南谷3477-3","BA555553","和歌山県","新宮市","新宮字南谷3477-3","0735-22-7899","","9:00～16:00","地上１階","なし","◎一般駐車場　有り：３０台","◎施設入口への車椅子利用：可","","","","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：１箇所<br>◎手すり付便所　有り：２箇所","","","◎管理人が常駐していますので、対応いたします。","その他","その他"
"念法真教熊野新宮念法寺","新宮市あけぼの1-10","BA555554","和歌山県","新宮市","あけぼの1-10","0735-22-4860","0735-22-6224","5:00～20:00","地上２階","毎月４日、２０日","◎一般駐車場　有り：２５台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り<br>◎段差　有り（スロープ　有り）","","◎一般案内　有り","","◎障害者（車椅子）用便所　有り：１箇所（１階）<br>◎洋式大便所　有り：２箇所<br>◎手すり付便所　有り：１２箇所","","◎車椅子の常備　有り：３台（玄関）","","その他","その他"
"日高町斎場","日高郡日高町大字比井神田1439-1","BA556061","和歌山県","日高郡日高町","大字比井神田1439-1","0738-64-2822","","24時間","地上１階","元日のみ","◎一般駐車場　有り：６０台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所<br>◎洋式大便所　有り：２箇所<br>◎手すり付便所　有り：２箇所","","","","その他","その他"
"日本フレンド協会海の家","日高郡由良町吹井692","BA556062","和歌山県","日高郡由良町","吹井692","0738-65-1781","0738-65-3232","5:00～17:00","地上１階","年中無休","◎一般駐車場　有り：８台","◎施設入口への車椅子利用：可","","◎一般案内　有り","","◎洋式大便所　有り：１箇所","","◎車椅子の常備　有り：１台","","その他","その他"
"美山漕艇場監視棟","日高郡日高川町串本９８７-３","BA556064","和歌山県","日高郡日高川町","串本９８７-３","","","２４時間","地上１階","","◎一般駐車場　有り：１台","◎施設入口への車椅子利用：可","","","","◎障害者（車椅子）用便所　有り：１箇所（施設の一部で外部から利用可能）","","","","その他","その他"
"目津公園","日高郡みなべ町山内１６６５-1","BA556065","和歌山県","日高郡みなべ町","山内１６６５-1","","","随時可","地上１階","なし","◎一般駐車場　有り：２６台","◎施設入口への車椅子利用：可","","","","◎障害者（車椅子）用便所　有り：１箇所<br>◎手すり付便所　有り：１箇所","","","","その他","その他"
"小目津公園","日高郡みなべ町山内３６８-４","BA556066","和歌山県","日高郡みなべ町","山内３６８-４","","","随時可","地上１階","なし","◎一般駐車場　有り：２５台","◎施設入口への車椅子利用：可","","","","◎障害者（車椅子）用便所　有り：１箇所","","","","その他","その他"
"長谷毛原健康センター","海草郡紀美野町毛原宮１７２-２","BA555595","和歌山県","海草郡紀美野町","毛原宮１７２-２","073-499-0610","073-499-0610","未定","地上１階","未定","◎一般駐車場　有り：１７台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り<br>◎他の誘導設備：手摺","◎一般案内　有り","","◎障害者（車椅子）用便所　有り：１箇所（ホール近くに設置）<br>◎洋式大便所　有り：３箇所","","","","その他","その他"
"粉河駅南広場","紀の川市粉河","BA555731","和歌山県","紀の川市","粉河","","","年中無休","地上１階","なし","◎一般駐車場　有り：１２台","◎施設入口への車椅子利用：可","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所","","","","その他","その他"
"農産物直売所","紀の川市切畑","BA555732","和歌山県","紀の川市","切畑","0736-75-6336","","9:00～17:00","地上１階","火曜","◎一般駐車場　有り：２０台","◎施設入口への車椅子利用：可","","","","◎洋式大便所　有り：３箇所<br>◎手すり付便所　有り","","","","その他","その他"
"桃山特産センター","紀の川市桃山町市場４０４-４","BA555733","和歌山県","紀の川市","桃山町市場４０４-４","0736-66-2384","0736-66-2384","9:00～17:00","地上２階","火曜日","◎一般駐車場　有り：９台<br>◎障害者用駐車場　有り：１台","◎施設入口への車椅子利用：可<br>◎自動ドア　有り","◎誘導ブロック　有り","","","◎障害者（車椅子）用便所　有り：１箇所（１階ホール）","","","◎桃山町特産センターは人と人とのふれあいと、まちづくりの拠点として不特定多数の方が利用するため、段差の解消など、人にやさしい施設として整備しています。","その他","その他"
